publisher,average_rating
Carol Drinkwater,3.81
Carol Lee,3.53
Carol Lloyd,4.02
Carol Marinelli,3.6
Carol Ryrie Brink,4.15
Carol Shields,3.8600000000000003
Carol Stock Kranowitz,4.22
Carole Marsh,3.6133333333333333
Carole Nelson Douglas,3.49
Caroline B. Cooney,3.7366666666666664
Caroline Preston,3.54
Caroline Sharp,3.72
Carolly Erickson,3.89
Carolyn Brown,4.24
Carolyn Haywood,4.09
Carolyn Keene,3.8985714285714286
Carolyn Meyer,3.716666666666667
Carolyn Strom Collins,4.03
Carrie Vaughn,3.813333333333334
Carroll John Daly,3.5033333333333334
Carson McCullers,3.98
Casey Loe,3.96
Catharine M. Fishel,3.93
Catherine Coulter,3.9233333333333333
Catherine Gilbert Murdock,3.74
Catherine Hapka,3.3
Catherine Marshall,4.36
Catherine Nichols,4.17
Catherine Osborne,3.58
Catherine Thimmesh,4.15
Catherine de Zegher,4.55
Cecelia Ahern,3.783333333333333
Cecil Adams,4.205
Cecily von Ziegesar,3.5780000000000003
Celeste Bradley,3.9450000000000003
Celeste Davidson Mannis,4.05
Cesare Beccaria,3.92
Chad Oliver,3.69
Chaim Potok,4.118
Chalmers Johnson,4.13
Chanrithy Him,4.14
Charlaine Harris,3.8200000000000003
Charles  Green,4.0
Charles A. Coulombe,3.94
Charles A. Peek,3.55
Charles Allen,4.5
Charles Baudelaire,4.054
Charles Boyce,4.35
Charles Bukowski,4.02125
Charles Burns,4.0
Charles C. Mann,4.02
Charles Darwin,4.014
Charles Dickens,3.9103333333333334
Charles Frazier,3.8033333333333332
Charles J. Sykes,3.71
Charles John Cutcliffe Wright Hyne,3.78
Charles Kingsley,3.42
Charles Lamb,3.96
Charles Lockwood,4.33
Charles Mackay,3.88
Charles Osborne,3.5
Charles P. Rubenstein,2.67
Charles Petzold,4.39
Charles R. Miller,4.06
Charles R. Swindoll,4.265000000000001
Charles Rembar,3.88
Charles Segal,4.62
Charles Seife,3.96
Charles Simic,4.18
Charles Stross,3.704285714285714
Charles Tandy,4.0
Charles Taylor,4.0675
Charles Todd,4.032222222222222
Charles W. Sydnor Jr.,3.99
Charles Wheelan,4.03
Charles Willeford,3.936
Charles de Lint,3.81
Charlie Huston,3.8200000000000003
Charlotte Brontë,4.163333333333333
Charlotte Fiell,3.43
Charlotte Lyons,4.12
Cheri Huber,4.12
Cheryl Carlson,4.33
Cheryl St. John,3.68
Chester Gould,4.02
Chet Green,4.5
Chie Shinohara,4.445
Chieri Uegaki,4.19
Chiho Saito,3.992
Chimamanda Ngozi Adichie,4.32
Chinua Achebe,3.77
Chip Kidd,4.0649999999999995
Chris          Jones,4.2
Chris    Green,5.0
Chris   Smith,4.53
Chris  Williams,3.97
Chris Abani,3.78
Chris Adrian,3.9
Chris Anderson,3.81
Chris Archer,4.11
Chris Chester,4.33
Chris Claremont,3.75
Chris Gardner,4.19
Chris Gray,4.1
Chris Horrocks,3.32
Chris Ingham,3.91
Chris Kubica,3.5
Chris L. Demarest,4.14
Chris Malta,3.62
Chris Manby,3.4050000000000002
Chris Offutt,3.983333333333333
Chris Prentiss,4.05
Chris Rowthorn,4.05
Chris Ryall,4.23
Chris Seay,3.65
Chris Tait,3.83
Chris Van Allsburg,4.3
Chris Ware,4.202
Christie Ridgway,3.81
Christina Dodd,3.79
Christina Schwarz,3.74
Christina Scull,4.574999999999999
Christine Feehan,4.0600000000000005
Christine Rimmer,3.76
Christopher   Black,3.67
Christopher   Clark,4.14
Christopher   Duncan,3.13
Christopher   Green,4.06
Christopher Andersen,3.95
Christopher Biffle,4.33
Christopher Bram,4.1
Christopher Buckley,3.93
Christopher Caswell,3.62
Christopher Cokinos,4.22
Christopher Fowler,3.89
Christopher Golden,4.03
Christopher Hitchens,3.967
Christopher Isherwood,4.03
Christopher Janaway,3.8200000000000003
Christopher M. Andrew,3.93
Christopher Marlowe,3.85
Christopher Moore,3.9175
Christopher Partridge,3.78
Christopher Pike,3.65
Christopher Pinney,3.895
Christopher Priest,3.89
Christopher Schmitt,3.88
Christopher Stasheff,3.51
Chuck Klosterman,3.8
Chuck Palahniuk,3.695333333333333
Chuck Williams,3.82
Ciruelo Cabral,4.2
Claire Brennan,4.25
Claire McNab,3.74
Claire Messud,3.3833333333333333
Clare Naylor,3.38
Claudia Bishop,3.57
Claudia Carroll,3.3
Clayton M. Christensen,3.99
Clement Greenberg,3.9
Clifford D. Simak,3.94
CliffsNotes,3.89
Clint Willis,3.86
Clive Barker,4.054545454545455
Clive Cussler,3.921851851851852
Cody Goodfellow,3.86
Cole Porter,4.53
Colin      Wells,3.58
Colin  Wells,3.88
Colin Duriez,3.865
Colin McGinn,3.65
Colin Wilson,3.92
Colleen McCullough,4.05
Colleen Sexton,3.84
Colm Tóibín,3.775
Colson Whitehead,3.665
Colum McCann,3.85
Commander X,2.83
Confucius,3.83
Connie Mason,3.83
Connie Willis,3.7016666666666667
Constance Ash,3.82
Cook's Illustrated Magazine,4.4825
Cordwainer Smith,4.14
Corinne Hofmann,3.45
Cormac McCarthy,4.13375
Cornel West,3.95
Cornelia Funke,3.844
Cornelius Agrippa,4.1
Cornell Woolrich,3.865
Cory Doctorow,3.5675
Courtney E. Martin,3.78
Craig Keller,4.17
Craig Scharlin,4.22
Craig Thompson,3.786
Crissy Trask,3.55
Crystal Lacey Winslow,4.2
Curtis Saxton,4.21
Curtis Sittenfeld,3.38
Cynthia Chin-Lee,3.89
Cynthia Harrod-Eagles,4.223333333333333
Cynthia J. Arnson,3.5
Cynthia Rylant,4.095
Cynthia Voigt,3.9299999999999997
Cynthia W. Shelmerdine,4.5
D. Medina Lasansky,3.2
D.B. Wyndham-Lewis,3.73
D.C. Talk,4.135
D.H. Lawrence,3.77625
D.T. Max,3.91
D.W. Buffa,3.76
D.W. Meinig,4.19
Dai Sijie,3.64
Daidōji Yūzan,4.04
Daisy Meadows,3.8280000000000003
Dalai Lama XIV,4.055
Dale Brown,3.973333333333333
Dale Carnegie,4.12125
Dale Peck,3.5833333333333335
Dale Peterson,4.33
Dallas Willard,4.22
Damion Hunter,4.14
Dan B. Allender,4.04
Dan Birlew,4.215
Dan Brown,3.820588235294118
Dan Harrington,4.2
Dan Hitt,0.0
Dan Millman,4.133333333333334
Dan Nadel,4.05
Dan Savage,3.83
Dan Simmons,3.9237037037037035
Dan Slott,3.81
Dani Cavallaro,3.77
Daniel  Wallace,4.203333333333333
Daniel Abdal-Hayy Moore,3.16
Daniel Abraham,3.6
Daniel C. Dennett,3.908333333333333
Daniel Clowes,3.9899999999999998
Daniel Defoe,3.6450000000000005
Daniel Duane,3.87
Daniel Goleman,3.932
Daniel Horowitz,3.59
Daniel Jonah Goldhagen,3.68
Daniel Keyes,4.1000000000000005
Daniel Pinchbeck,3.7399999999999998
Daniel Pool,3.85
Daniel Quinn,4.07
Daniel Topolski,4.24
Danielle Steel,3.7866666666666666
Danny Palmerlee,3.89
Dante Alighieri,4.014
Danzy Senna,3.675
Daphne du Maurier,4.175000000000001
Darcy Frey,4.17
Daria Snadowsky,3.41
Darina Allen,4.19
Daron Acemoğlu,3.97
Darren R. Weissman,4.11
Darren Shan,4.196666666666666
Darwin Porter,3.51
Dashiell Hammett,4.043333333333333
Dashka Slater,3.6
Dava Sobel,3.865
Dave Aikins,3.47
Dave Barry,4.095000000000001
Dave Crane,3.56
Dave Eggers,3.7758823529411765
