publisher,average_rating
Paul Cronin,4.45
Paul Davies,3.82
Paul De Man,4.12
Paul DuBois,4.0
Paul Farmer,4.17
Paul Findley,4.07
Paul Galdone,3.74
Paul Glovinsky,3.93
Paul Graham,4.05
Paul Hendrickson,3.9633333333333334
Paul J. Mikol,4.01
Paul Karasik,3.93
Paul Kengor,4.23
Paul Krugman,3.89
Paul La Farge,3.615
Paul M. Fishbane,3.78
Paul Murray,3.6
Paul Negri,4.02
Paul Pearsall,4.01
Paul Perry,3.86
Paul Pitchford,4.41
Paul Robert Magocsi,4.43
Paul Ruditis,3.95
Paul Schrader,4.12
Paul Strathern,3.23
Paul Theroux,3.96
Paul Yee,3.27
Paula Danziger,3.856666666666667
Paula J. Caplan,3.88
Paula S. Fass,3.76
Paule Marshall,4.07
Pauline Francis,3.76
Pauline Kael,4.265000000000001
Pauline Réage,3.32
Paulo Coelho,3.6664285714285714
Pavel Tsatsouline,4.0
Pearl Cleage,3.73
Pearl S. Buck,3.988571428571429
Pearson Scott Foresman,4.13
Pedro Calderón de la Barca,3.9375
Peg Kerr,3.67
Peggy Parish,4.246666666666667
Penelope Fitzgerald,3.7700000000000005
Penny Jordan,2.92
Pete Hautman,3.73
Pete McCarthy,3.8
Peter     Brown,4.08
Peter  Dale,0.0
Peter  Stone,4.22
Peter  Van Houten,3.6
Peter A. Lillback,4.18
Peter Abrahams,3.5566666666666666
Peter Ackroyd,3.99
Peter Biskind,4.12
Peter Blegvad,4.16
Peter Carey,3.43
Peter Conn,4.17
Peter Cozzens,4.17
Peter D'Epiro,3.77
Peter D. Schiff,3.78
Peter David,3.26
Peter Doggett,4.0
Peter Elkind,3.78
Peter F. Hamilton,4.148000000000001
Peter G. Bolt,3.89
Peter Haining,3.99
Peter Hamilton,4.36
Peter Handke,3.27
Peter Hessler,4.18
Peter J. D'Adamo,3.57
Peter J. Smith,3.53
Peter Kent,3.79
Peter Kreeft,4.335
Peter Kuper,3.79
Peter M. Robinson,3.7
Peter Martins,4.01
Peter Maurice Wright,3.73
Peter Mayle,3.905
Peter Menzel,4.44
Peter Milligan,3.97
Peter Moon,3.89
Peter Olafson,4.29
Peter R.L. Brown,4.27
Peter Reinhart,4.28
Peter Robinson,4.13
Peter S. Beagle,4.096666666666667
Peter Singer,4.053333333333334
Peter Straub,3.795
Peter Tallack,4.05
Peter Tremayne,4.05
Peter Turchin,4.16
Peter Walsh,3.85
Peter Watson,4.26
Peter Woit,3.93
Phil Brucato,3.45
Phil Town,4.02
Philip Caputo,3.94
Philip Dutre,4.5
Philip Ellis Wheelwright,4.04
Philip Gourevitch,4.24
Philip J. Ivanhoe,3.99
Philip Johnson,4.0
Philip José Farmer,3.675
Philip K. Dick,3.989375
Philip K. Howard,3.91
Philip Levine,4.24
Philip Nel,3.58
Philip Norman,4.03
Philip Plait,4.04
Philip Pullman,3.9984615384615383
Philip Roth,3.751052631578947
Philip Thody,3.58
Philip Zaleski,3.5
Philippa Carr,3.98
Philippa Gregory,3.6466666666666665
Philippa Pearce,4.07
Phillip C. McGraw,3.56
Phillip Glasier,4.31
Phillip Lopate,4.03
Phillip Margolin,3.91
Phoebe Dunn,3.86
Phyllis A. Bird,3.8
Phyllis Reynolds Naylor,4.074999999999999
Pierdomenico Baccalario,3.965
Pierre Boulle,3.95
Pierre Hadot,4.19
Piers Anthony,3.716666666666667
Pimsleur Language Programs,4.23
Pindar,4.015000000000001
Plato,4.001538461538461
Plotinus,4.289999999999999
Plum Sykes,3.28
Polly Horvath,3.72
Poppy Z. Brite,3.75
Preston Peet,3.74
Prima Publishing,3.98
Primo Levi,4.228
Python Bonkers,3.56
Qiu Xiaolong,3.77
Queen Latifah,4.06
Quentin Bell,4.17
Quentin Blake,4.0
Quentin Carter,4.449999999999999
Quentin Skinner,4.046666666666667
Quentin W. Fleming,3.77
Quincy Jones,4.09
R. Gary Patterson,3.72
R. McL. Wilson,5.0
R. Scott Bakker,3.9400000000000004
R. de Roussy de Sales,3.85
R.A. Salvatore,4.18
R.B. Bernstein,4.01
R.C. Sproul,4.34
R.F. Laird,4.23
R.K. Narayan,4.21
R.L. Stine,3.88
R.R. Palmer,2.0
Rachel Caine,3.94
Rachel Carson,4.055
Rachel Cohn,3.645
Rachel Field,3.86
Rachel Klein,3.49
Rachel Lichtenstein,3.85
Rachel Ryan,3.606666666666667
Rachel Simon,3.76
Radcliffe G. Edmonds III,3.75
Radclyffe,4.21
Raeleen D'Agostino Mautner,3.76
Raina Telgemeier,4.17
Rajiv Chandrasekaran,4.02
Ralph C. Wood,4.09
Ralph Ellison,3.86
Ralph Ginzburg,4.61
Ram Dass,4.18375
Ramsey Campbell,3.73
Randall Hyde,3.92
Randall Kenan,3.76
Randy Alcorn,4.175
Randy Cerveny,3.17
Randy Leffingwell,4.14
Randy Shilts,4.37
Raph Koster,3.94
Ravi Zacharias,3.95
Ray Bradbury,4.0329411764705885
Ray McAllister,3.94
Ray Monk,4.36
Ray Oldenburg,3.83
Raymond Carver,4.2775
Raymond Chandler,4.239
Raymond E. Feist,4.084615384615384
Raymond Queneau,3.8980000000000006
Raymond T. McNally,3.6950000000000003
Raynold Gideon,4.32
Reader's Digest Association,4.405
Rebecca  Brown,4.09
Rebecca  Wood,4.2
Rebecca Aberg,3.53
Rebecca Coffey,4.25
Rebecca Goldstein,3.92
Rebecca Hagan Lee,4.14
Rebecca J. Donatelle,3.58
Rebecca Solnit,4.0925
Rebecca St. James,4.12
Rebecca West,4.23
Rebecca York,3.825
Reduced Shakespeare Company,4.44
Reed Martin,4.13
Reginald Hill,3.84
Reinaldo Arenas,4.078
Reinhold Messner,3.93
Rene Gutteridge,3.61
Renee Baron,3.82
René Descartes,3.71
Retha M. Warnicke,3.96
Rex Pickett,3.69
Reynolds Price,3.8699999999999997
Reza Aslan,4.12
Rheta Grimsley Johnson,3.72
Ricardo Piglia,3.9579999999999997
Ricardo Semler,4.17
Rich Wulf,3.78
Richard   Preston,3.8333333333333335
Richard  Adams,3.8871428571428575
Richard A. Hawley,3.99
Richard A. Knaak,3.8636363636363638
Richard A. Lupoff,3.29
Richard A. Posner,3.84
Richard B. Alley,3.98
Richard B. Lee,3.58
Richard B. Primack,3.92
Richard B. Sewall,4.29
Richard Bach,3.915
Richard Bachman,3.8620000000000005
Richard Bausch,4.18
Richard Bonson,4.06
Richard Brautigan,4.1175
Richard Brzezinski,3.56
Richard Buskin,3.73
Richard Buxton,4.24
Richard Corliss,3.89
Richard Curtis,3.94
Richard D. Bartlett,3.8
Richard D. Nelson,4.0
Richard Dawkins,4.022
Richard Dooling,3.94
Richard E. Neustadt,3.77
Richard Ellmann,4.24
Richard Fariña,3.8
Richard Flanagan,3.69
Richard Ford,3.825
Richard Freeborn,3.76
Richard Gott,4.06
Richard H. Minear,4.16
Richard Hanley,3.82
Richard Hofstadter,3.89
Richard Hollis,4.0
Richard Johnsonbaugh,4.07
Richard K. Morgan,3.6166666666666667
Richard Kern,3.84
Richard Klein,3.81
Richard Llewellyn,4.18
Richard M. Rorty,4.01
Richard M. Weaver,4.15
Richard Matheson,3.938888888888889
Richard Nelson Bolles,3.7
Richard Olney,3.75
Richard P. Feynman,4.399333333333333
Richard Paige,3.95
Richard Paul Russo,3.475
Richard Peck,3.9433333333333334
Richard Platt,3.8499999999999996
Richard Powers,3.725
Richard Preston,4.12
Richard Proenneke,4.42
Richard R. George,4.165
Richard Reeves,3.96
Richard Rhodes,3.9899999999999998
Richard Russell Lawrence,3.57
Richard Russo,3.936666666666666
Richard Seymour Hall,4.39
Richard Shenkman,3.47
Richard Slotkin,4.3
Richard Stapleford,4.0
Richard V. Greene,3.7
Richard W. Bulliet,3.035
Richard W. Wrangham,4.03
Richard Wilhelm,4.19
Richard Wright,4.135
Richmond Lattimore,4.15
Rick Barba,4.04
Rick Bass,3.8200000000000003
Rick Decker,4.0
Rick Hicks,3.36
Rick Moody,3.228
Rick Osborne,0.0
Rick Riordan,4.266
Rick Steves,4.24
Rick Warren,4.14
Riki Anne Wilchins,3.95
Roald Dahl,4.061707317073171
Rob Bell,3.78
Rob Humphreys,3.75
Rob Kidd,3.9219999999999997
Rob Orsini,3.48
Rob Thomas,3.63
Rob Williams,3.94
Robb Forman Dew,3.16
Robbie Stamp,3.9
Robert   Harris,3.82
Robert  Evans,3.92
Robert  Hamburger,4.0
Robert  Mayer,3.48
Robert A. Caro,4.51
Robert A. Dahl,3.635
Robert A. Harris,4.0
Robert A. Heinlein,3.9177777777777774
Robert A. Johnson,4.04
Robert A. Nye,4.36
Robert A. Weiss,0.0
Robert A.M. Stern,4.44
Robert Anton Wilson,4.045
Robert Arp,3.43
Robert Arthur,3.84
Robert B. Baer,3.93
Robert B. Cialdini,4.19
Robert B. Parker,3.973333333333333
Robert Bauval,3.94
Robert Benedetti,3.65
Robert Bogdan,3.88
Robert Boyle,3.0
Robert Brent Toplin,3.44
Robert Bringhurst,4.24
Robert C. O'Brien,3.66
Robert Coles,4.43
Robert Crais,4.14
Robert Cullen,4.01
Robert D. Kaplan,4.004
Robert D. Putnam,3.793333333333333
Robert D. Richardson Jr.,4.25
Robert D. Siegel,4.21
Robert Dallek,4.07
Robert E. Hemenway,4.1
Robert E. Howard,4.3149999999999995
Robert Egan,4.0
Robert F. Kennedy Jr.,4.08
Robert Ferrigno,3.76
Robert Frost,4.28
Robert Fulghum,4.03
Robert G. Hagstrom,4.13
Robert Goddard,3.71
Robert Graves,4.04
Robert Greene,4.22
Robert Hellenga,3.5566666666666666
Robert Hutchinson,4.14
Robert Irwin,3.7800000000000002
Robert J. Allison,3.62
Robert J. Milch,4.2
Robert J. Ray,3.67
Robert Jordan,4.10625
Robert Kanigher,4.335
Robert Kirkman,4.16
Robert L. Geneve,3.83
Robert L. O'Connell,4.02
Robert L. Wolke,3.86
Robert Louis Stevenson,3.9539999999999997
Robert Ludlum,3.839
Robert M. Pirsig,3.725
Robert M. Price,3.75
Robert M. Sapolsky,4.21
Robert Mason,4.09
Robert McCloskey,4.17
Robert Munsch,4.0
Robert Musil,3.73
Robert Nye,3.685
Robert P. Miles,4.07
Robert Paul Wolff,3.74
Robert Penn Warren,4.0475
Robert Polito,4.37
Robert R. McCammon,4.061
Robert Robinson,4.33
Robert Sabuda,4.33
Robert Scoble,3.72
Robert Sedgewick,4.16
Robert Shapard,3.8
Robert Silverberg,3.9
Robert Sokolowski,3.98
Robert Stock,3.12
Robert Templer,3.49
Robert Todd Carroll,4.02
Robert W. Harris,3.21
Robert W. Strayer,3.44
Robert X. Cringely,4.01
Roberta Gellis,3.87
Roberta Grobel Intrater,3.69
Roberts Liardon,4.45
Robertson Davies,4.09
Robin  Davis,3.93
Robin Chapman Stacey,3.64
Robin Cook,3.75
Robin Hobb,4.066
Robin Landa,4.04
Robin Lane  Fox,4.19
Robin Lane Fox,3.91
Robin Maxwell,3.8
Robin McGraw,3.62
Robin McKinley,3.882307692307692
Robin Norwood,4.02
Robin P. Williams,3.73
Robin S. Sharma,3.83
Robin Wasserman,3.955
Robin Waterfield,3.98
Roddy Doyle,3.828181818181818
Roderick Townley,3.9
Rodman Philbrick,4.01
Rodney Stark,4.04
Roff Smith,3.8
Roger Ebert,4.11
Roger Hargreaves,4.0408333333333335
Roger Lancelyn Green,4.0
Roger Lowenstein,4.19
Roger Penrose,4.11
Roger Scruton,3.8
Roger Shattuck,3.92
Roger Zelazny,3.8525
Rohinton Mistry,4.17
Roland Barthes,3.91
Roland H. Bainton,4.08
Rolland Baker,4.46
Rolland Hein,3.93
Roméo Dallaire,4.24
Ron     Miller,3.76
Ron  Louis,3.76
Ron Chernow,4.166666666666667
Ron Marz,3.51
Ron Rash,4.0175
Ron Roy,4.08
Rona Sharon,3.9
Ronald B. Flowers,3.59
Ronald Hayman,3.67
Ronald J. Faust,3.67
Ronald L. DiSanto,3.72
Ronald Takaki,4.13
Ronda Thompson,3.91
Ronlyn Domingue,3.83
Rosa Montero,3.7800000000000002
Rosalind Laker,3.94
Rosalind M. Greenberg,3.38
Rosalind Miles,3.64
Rosamunde Pilcher,4.15
Rose A. Zimbardo,4.02
Rose Tremain,3.95
Rose Wilder Lane,3.96
Rosemary Wells,4.0
Rosetta James,3.9
Rosie Daley,3.04
Rosita Arvigo,4.13
Ross Garnaut,5.0
Ross Thomas,3.95
Rough Guides,3.89
Roy McKie,4.15
Roy Mottahedeh,4.08
Rubem A. Alves,4.43
Ruby Ann Boxcar,4.1
Ruby K. Payne,3.9
Rudolfo Anaya,3.77
Rudolph R. Windsor,4.31
Rudolph W. Giuliani,3.72
Rudyard Kipling,3.966666666666667
Rumer Godden,4.1049999999999995
Rumi,4.28
Rumiko Takahashi,4.1866666666666665
Rupa Bajwa,3.44
Russ Kick,3.87
Russell Banks,3.854
Russell Evans,3.46
Russell Hoban,4.126666666666666
Russell Roberts,3.745
Russell Shorto,4.14
Rusty Young,4.26
Ruth  Abbey,3.6
Ruth Downie,3.73
Ruth Heller,4.123333333333333
Ruth Krauss,4.24
Ruth Ozeki,3.9599999999999995
Ruth Prawer Jhabvala,3.55
Ruth Reichl,4.04
Ruth Rendell,3.64
Ruth S. Noel,3.98
Ruth Stiles Gannett,4.1
Ruth Westheimer,3.65
Ruud van der Rol,4.27
Ryōkan,4.58
Ryōtarō Shiba,3.76
Ryū Murakami,3.68
Ryūnosuke Akutagawa,4.13
S.E. Hinton,3.934
S.M. Stirling,4.06
Sabine C. Bauer,3.79
Sakurako Gokurakuin,3.55
Sally Potter,4.07
Sally Smith O'Rourke,3.37
Salman Rushdie,3.8058333333333336
Salvador Plascencia,4.09
Sam Bass Warner,3.58
Sam Harris,3.93
Sam Johnson,4.12
Sam Kauffmann,3.83
Sam R. Watkins,4.13
Sam Shepard,4.045
Sam Walton,4.15
Sam Weller,4.24
Samuel Beckett,4.055
Samuel Hynes,3.8
Samuel J. Leffler,4.26
Samuel Richardson,3.37
Samuel Taylor Coleridge,3.94
Sandra Balzo,3.61
Sandra Benítez,3.62
Sandra Boynton,4.225
Sandra Brown,3.75
Sandra Cisneros,3.8
Sandra Hack Polaski,3.96
Sandra Steffen,3.33
Sandra West Prowell,3.45
Sandy Petersen,4.266666666666667
Sang-Sun Park,3.88
Sanyika Shakur,3.97
Sara Barton-Wood,5.0
Sara Gruen,4.09
Sara Zarr,3.66
Sarah   Kay,3.46
Sarah Ban Breathnach,4.08
Sarah Dening,4.19
Sarah Dessen,3.97
Sarah Dunant,3.81
Sarah Fielding,2.63
Sarah Johnstone,3.98
Sarah K. Herz,4.01
Sarah M.  Anderson,3.68
Sarah Macdonald,3.53
Sarah Mayberry,3.71
Sarah Miller,3.39
Sarah Mlynowski,3.793333333333333
Sarah Susanka,4.07
Sarah Vowell,3.88
Sarvepalli Radhakrishnan,4.13
Satoru Kannagi,4.0175
Satosumi Takaguchi,3.8333333333333335
Satyajit Das,3.83
Saul A. Kripke,4.01
Saul Bellow,3.7857142857142856
Saul Leiter,4.73
Saul Steinberg,4.51
Saul Williams,4.22
Sayadaw U. Pandita,4.22
Scott   Cunningham,3.85
Scott  Freeman,3.97
Scott Adams,4.01
Scott Allie,3.82
Scott Beatty,4.29
Scott Donaldson,3.85
Scott Leonard,4.24
Scott MacMillan,3.52
Scott O'Dell,3.785
Scott Speck,4.01
Scott Turow,3.8177777777777777
Scott Westerfeld,3.7585714285714285
Scott Wetzler,4.03
Seamus Deane,3.73
Seamus Heaney,4.1000000000000005
Sean B. Carroll,4.07
Sean McMullen,3.61
Sean O'Brien,2.67
Sean Smith,3.73
Sean Stewart,3.84
Sebastian Faulks,3.7325
Sei Shōnagon,4.02
Selina Shirley Hastings,3.91
Selma G. Lanes,4.43
Sena Jeter Naslund,4.03
Sergio Ramírez,3.69
Seth Godin,3.98
Shana Abe,3.7175000000000002
Shannon Drake,3.78
Shannon Hengen,3.43
Shannon Holmes,4.03
Sharon Creech,3.92
Sharon Green,4.07
Sharon Kay Penman,4.27
Sharon Rose Wilson,3.75
Sharon Salzberg,4.24
Sharyn McCrumb,3.8
Sharyn November,3.94
Shaun Tomson,3.82
Shauna Singh Baldwin,3.89
Shayla Black,3.8449999999999998
Shel Silverstein,4.256
Shelby Foote,4.36
Shelley Klein,3.55
Sheri Lynch,3.71
Sheri Rose Shepherd,5.0
Sherman Alexie,3.98
Sherrilyn Kenyon,4.095
Sherry Gershon Gottlieb,4.5
Sherry Shahan,4.03
Sherwood Smith,4.19
Sheryl Feldman,4.07
Shifra Horn,3.69
Shirin Ebadi,4.14
Shirley Hazzard,3.89
Shirley Rousseau Murphy,4.22
Shiva Naipaul,3.89
Sholom Aleichem,4.215
Shūsaku Endō,3.9375
Sid Fleischman,3.57
Sidney Sheldon,3.81
Siegfried Engelmann,4.17
Sigmund Freud,3.82
Sigrid Nunez,3.85
Sigrid Undset,4.171818181818182
Silas House,4.056666666666667
Simon Anholt,3.69
Simon Cleveland,4.91
Simon Goldhill,3.814
Simon Perchik,4.25
Simon Schama,4.023333333333333
Simon Singh,4.27
Simon Wells,4.18
Simon Winchester,3.836
Simone Weil,4.04
Simone de Beauvoir,4.082
Simón Bolívar,3.84
Sinclair B. Ferguson,4.24
Sinclair Lewis,3.83125
Slavoj Žižek,3.8980000000000006
Snorri Sturluson,4.17
Solomon Jones,3.97
Sonallah Ibrahim,3.55
Sonny Brewer,3.93
Sophie Braimbridge,2.62
Sophie Kinsella,3.7425
Sophocles,3.9194736842105264
SparkNotes,3.6799999999999997
Spencer Johnson,3.79
Spider Robinson,4.31
Stacey Szklut,4.11
Stacy Horn,3.58
Stacy Schiff,4.02
Stan Berenstain,3.87
Stan Hoig,3.43
Stan Jones,3.77
Stan Lee,3.43
Stanislav Grof,4.0
Stanisław Lem,4.042857142857143
Stanley Bing,3.2800000000000002
Stanley Coren,3.99
Stanley Weintraub,3.6
Stanley Wiater,4.15
Starr Smith,3.93
Stefan Fatsis,3.82
Stefano Benni,3.71
Sten Nadolny,3.95
Stendhal,3.822
Stephanie Barron,3.86
Stephanie Laurens,4.015
Stephanie McCurry,3.69
Stephanie Rowe,3.98
Stephanie Spinner,3.51
Stephen  Booth,4.11
Stephen  Mansfield,3.29
Stephen Biesty,4.41
Stephen Briggs,4.15
Stephen Clarke,3.54
Stephen Coonts,3.82
Stephen Cox,4.45
Stephen Crane,3.43
Stephen Desberg,3.84
Stephen E. Ambrose,4.206
Stephen G. Kochan,3.96
Stephen Gaskin,3.89
Stephen Greenblatt,3.94
Stephen Hawking,4.134545454545455
Stephen Hunter,4.141666666666667
Stephen J. Burn,3.82
Stephen J. Cannell,3.855
Stephen J. Rosen,3.78
Stephen J. Sansweet,4.5
Stephen Jay Gould,4.036666666666666
Stephen King,4.003536585365854
Stephen Kinzer,3.84
Stephen Leeb,3.4
Stephen Leigh,3.77
Stephen M. Pollan,3.0866666666666664
Stephen M.R. Covey,3.99
Stephen Manes,3.9924999999999997
Stephen Mark Rainey,3.67
Stephen Miller,3.2
Stephen Minot,3.64
Stephen Mulhall,3.95
Stephen Nachmanovitch,4.14
Stephen Oppenheimer,3.98
Stephen P. Maran,3.84
Stephen R. Covey,4.1
Stephen R. Donaldson,4.033333333333334
Stephen R. Swinburne,4.06
Stephen Rebello,4.17
Stephen W. Frey,3.7725
Stephen Wright,3.58
Stephenie Meyer,3.59
Steve  Miller,4.06
Steve Allen,3.6
Steve Augarde,3.71
Steve Blamires,3.92
Steve Eddy,3.6
Steve Erickson,4.0
Steve Hamilton,3.96
Steve Kenson,3.81
Steve Krug,4.25
Steve Martin,3.546666666666667
Steve Martini,3.94
Steve McConnell,4.29
Steve McCurry,4.55
Steve Moore,4.15
Steve Perry,3.8412499999999996
Steve Turner,4.043333333333333
Steve Wozniak,3.87
Steven C. Hayes,4.05
Steven D. Levitt,3.97
Steven F. Hayward,3.32
Steven Heller,4.06
Steven Johnson,3.7866666666666666
Steven L. Layne,3.73
Steven Nadler,4.1
Steven Pinker,3.953333333333333
Steven Pressfield,4.008
Steven Watts,4.02
Steven Weisenburger,4.01
Stewart Brand,4.156666666666666
Stewart O'Nan,3.83
Stewart Shapiro,4.25
Stormie Omartian,4.4
Stuart Gilbert,4.17
Stuart J. Murphy,3.51
Stuart M. Kaminsky,3.63
Stuart M. Matlins,3.95
Stuart McLean,4.3999999999999995
Stuart Russell,4.17
Stuart Woods,3.865
Stéphane Heuet,3.915
Sudha Koul,3.93
Sue Birtwistle,4.45
Sue Miller,3.69
Sue Monk Kidd,3.8766666666666665
Sue William Silverman,4.11
Suetonius,4.05
Suketu Mehta,3.93
Suki Kim,3.56
Sun Tzu,3.9283333333333332
Surya  Das,4.19
Susan    Lewis,3.98
Susan    Oliver,3.44
Susan   Mallery,3.96
Susan  Griffith,3.57
Susan  Jeffers,4.03
Susan Au,3.74
Susan Carroll,3.87
Susan Conant,3.7416666666666667
Susan Cooper,4.0375000000000005
Susan Donovan,3.81
Susan Forward,4.09
Susan Hill,3.864
Susan Howatch,3.98
Susan Kandel,3.47
Susan Minot,3.52
Susan Nanus,4.13
Susan Oliver,3.67
Susan Ring,4.2275
Susan Van Kirk,4.24
Susanna Clarke,3.82
Susanna Kaysen,3.81
Susanna Tamaro,3.59
Suzanne C. O'Connell Smeltzer,4.0
Suzanne Enoch,3.93
Suzanne Farrell,4.09
Suzette Haden Elgin,3.99
Sven Regener,3.87
Sy Montgomery,4.18
Syd Hoff,3.705
Sydney Taylor,4.25
Sylvia Browne,4.015
Sylvia Cassedy,3.73
Sylvia Day,3.63
Sylvia Engdahl,4.056666666666667
Sylvia Nasar,4.13
Sylvia Plath,4.241666666666666
Sébastien Japrisot,3.91
Søren Kierkegaard,4.14
Sławomir Rawicz,4.21
T. Coraghessan Boyle,3.8074999999999997
T.A. Barron,4.0925
T.H. White,3.986666666666667
T.R. Reid,3.62
T.S. Eliot,4.0475
T.Z. Lavine,3.94
Tacitus,4.055
Tad Williams,3.969090909090909
Takashi Hashiguchi,3.9877777777777776
Takehiko Inoue,4.41
Tamara Thorne,3.72
Tamora Pierce,4.2225
Tananarive Due,4.09
Tania Zamorsky,4.16
Tanya Huff,3.46
Tanya Remer Altmann,3.51
Tara MacCarthy,3.9333333333333336
Tara McCarthy,4.33
Ted Bader,2.86
Ted Dekker,4.17
Ted Honderich,4.15
Ted Steinberg,3.72
Tedd Arnold,3.95
Teddy Slater,3.8866666666666667
Temple Grandin,4.105
Tennessee Williams,4.09
Teresa Edgerton,3.868
Teresa Medeiros,3.89
Terri Apter,3.63
Terri Blackstock,4.36
Terry  Taylor,4.07
Terry Breverton,3.7
Terry Brooks,3.972727272727273
Terry C. Johnston,4.16
Terry Cole-Whittaker,4.1
Terry Cooper,4.12
Terry Deary,4.2
Terry Eagleton,3.825714285714286
Terry Gilliam,3.8099999999999996
Terry Goodkind,4.006
Terry Jones,3.8674999999999997
Terry Lee Rioux,4.08
Terry Moore,4.38
Terry Pastor,4.13
Terry Pratchett,4.114516129032258
Terry Tempest Williams,4.02
Terryl Whitlatch,4.42
Tess Gerritsen,4.075714285714286
Tess Uriza Holthe,4.03
Thad Carhart,3.95
The Beatles,4.47
The Harvard Lampoon,3.13
The Paris Review,4.37
Theo LeSieg,4.140000000000001
Theocritus,3.0
Theodore Ayrault Dodge,4.13
Theodore L. Brown,3.88
Theodore Roszak,3.56
Theodore Sturgeon,4.42
Theodore Taylor,3.76
Theodosius Dobzhansky,4.14
Thich Nhat Hanh,4.33
Thom Hartmann,4.23
Thomas  Harris,4.0600000000000005
Thomas  Moore,3.99
Thomas Andrews,3.68
Thomas Aquinas,3.972
Thomas Bailey Saunders,3.85
Thomas Bernhard,3.88
Thomas Bulfinch,4.1
Thomas C. Foster,3.65
Thomas Cahill,3.796666666666667
Thomas E. Skidmore,3.59
Thomas E. Woods Jr.,4.03
Thomas Fahy,4.24
Thomas Hardy,3.8950000000000005
Thomas Harlan,3.685
Thomas Hobbes,3.7
Thomas J. Stanley,4.03
Thomas Jefferson,3.92
Thomas Kinkade,4.0
Thomas L. Friedman,3.68
Thomas Lewis,4.11
Thomas Mann,4.08
Thomas May,3.5
Thomas More,3.53
Thomas Pynchon,3.8475
Thomas Ryan,2.83
Thomas Sowell,4.31
Thomas Wolfe,4.056666666666667
Thomas X. Hammes,3.89
Thornton W. Burgess,4.236666666666666
Thucydides,4.054285714285714
Tim Bogenn,4.5
Tim Cahill,3.94
Tim Dowley,4.07
Tim Downs,4.199999999999999
Tim Flannery,4.06
Tim Freke,3.96
Tim LaHaye,3.994545454545454
Tim O'Brien,3.7542857142857144
Tim Underwood,4.17
Time-Life Books,3.7079999999999997
Timothy  Taylor,3.57
Timothy B. Tyson,4.15
Timothy D. Taylor,3.77
Timothy Ferris,4.13
Timothy Findley,3.935
Timothy S. Murphy,4.12
Timothy Truman,3.43
Timothy Zahn,3.99
Tish Boyle,4.215
Tite Kubo,4.326428571428571
Tobias Churton,4.1
Tobias Wolff,3.9975
Todd Davis,5.0
Todd Gitlin,3.6659999999999995
Tom Arnett,3.64
Tom Brokaw,4.01
Tom Clancy,3.8838461538461533
Tom D. Crouch,4.17
Tom DeFalco,4.37
Tom Hodgkinson,3.81
Tom Hunt,3.73
Tom Hunter,3.64
Tom Kelley,3.97
Tom McGregor,3.97
Tom Morris,3.76
Tom Perrotta,3.614
Tom Robbins,3.9472727272727273
Tom Standage,3.76
Tom Stanton,4.16
Tom Stoppard,3.94125
Tom Wicker,3.84
Tom Wolfe,3.85
Tomie dePaola,4.123333333333334
Tomo Matsumoto,3.79
Toni Bentley,3.92
Toni Morrison,3.9322222222222223
Tony DiTerlizzi,3.73
Tony Hawks,3.79
Tony Horwitz,4.035
Tony Judt,4.34
Tracy Chevalier,3.6571428571428575
Tracy Kidder,4.16
Travis Bradberry,3.52
Trevanian,3.978
Tristan Taormino,4.04
Troy Denning,3.7533333333333334
Truddi Chase,4.04
Trudi Canavan,4.03
Truman Capote,3.924545454545455
Tsugumi Ohba,4.367692307692307
Tsutomu Nihei,4.22
Tucker Max,3.51
Tyler Florence,4.023333333333333
Ul De Rico,4.42
Umberto Eco,3.904375
United Feature Syndication,0.0
Unknown,3.5833333333333335
Upasika Kee Nanayon,4.29
Upton Sinclair,3.74
Ursula Ferrigno,4.08
Ursula Hegi,3.84
Ursula K. Le Guin,4.038125
Ursula Nordstrom,4.4
Usamah ibn Munqidh,3.95
V. Vale,4.26
V.C. Andrews,3.82
V.S. Naipaul,3.44
V.S. Ramachandran,4.26
V.T. Rajshekar,4.2
Val McDermid,4.01
Valerian Albanov,4.01
Valerie Boyd,4.32
Valerie Parv,3.04
Vasant Moon,3.65
Vella Munn,3.71
Vera John-Steiner,3.83
Verlyn Flieger,4.21
Vicki Constantine Croke,3.95
Victor Davis Hanson,4.11
Victor Hugo,4.135
Victor Skrebneski,4.25
Victor Villaseñor,4.48
Victoria Alexander,3.8057142857142856
Victoria Finlay,3.78
Victoria Holt,3.8125
Vijay Prashad,4.01
Vikram Chandra,3.93
Viktor E. Frankl,4.36
Vince Flynn,4.29
Vincent Lardo,3.9
Vincent van Gogh,4.16
Virgil,3.9546153846153844
Virginia Lee Barnes,3.77
Virginia Lee Burton,4.075
Virginia Woolf,4.110454545454545
Vladimir Nabokov,4.054736842105264
Voltaire,3.835
W. Chan Kim,3.91
W. Frederick Zimmerman,3.995
W. Haden Blackman,3.9933333333333336
W. Jason Gilmore,3.72
W. John Campbell,2.8
W. Michael Kelley,4.11
W. Somerset Maugham,4.1499999999999995
W.E.B. Du Bois,4.32
W.E.B. Griffin,4.25
W.F. Deedes,3.16
W.G. Sebald,4.26
Wade Davis,3.91
Walker Percy,3.68
Wallace Stegner,4.093636363636364
Wally Lamb,4.029999999999999
Walt Disney Company,3.945
Walt Whitman,4.33
Walter Benjamin,4.295
Walter Dean Myers,3.84
