Cambridge University Press,500-749,8
Cambridge University Press,750-999,1
Cambridge University Press,<250,27
Cambridge University Press,>=1000,1
Cambridge University Press/The New Cambridge Shakespeare,250-499,1
Canadian Broadcasting Corporation (CBC Audio),<250,2
Candlewick,<250,3
Candlewick Press,250-499,2
Candlewick Press,<250,20
Candlewick Press (MA),<250,3
Canongate Books,250-499,3
Canongate Books,750-999,1
Canongate U.S.,<250,3
Capstone Press,<250,2
Cardoza,500-749,1
Carl Hanser,250-499,1
Carl Hanser,<250,1
Carlsen,250-499,3
Carlsen,<250,1
Carlton Publishing Group,250-499,1
Carlton Publishing Group,<250,1
Carole Marsh Mysteries,<250,2
Carroll & Graf,<250,1
Carroll & Graf Publishers,250-499,1
Carroll & Graf Publishers,500-749,1
Carroll & Graf Publishers,<250,3
Cartago,<250,1
Cartwheel,<250,4
Casa Creacion,250-499,1
Castle Books,500-749,1
Castle Books,750-999,2
Catholic Book Publishing,250-499,1
Cavendish Square Publishing,<250,5
Cedar Books,250-499,1
Celestial Arts,250-499,2
Cemetery Dance Publications,250-499,3
Cemetery Dance Publications,<250,2
Cengage Learning,250-499,2
Cengage Learning,500-749,2
Cengage Learning,<250,1
Cengage Learning,>=1000,1
Center Point,250-499,1
Century,250-499,1
Chalice Press,<250,2
Challenge Press  Inc./Challcrest Press,<250,1
Changeling Press,250-499,1
Chaosium,250-499,4
Chaosium,<250,8
Charles Scribner's Sons,250-499,1
Charles Scribner's Sons,<250,1
Charlesbridge,<250,2
Charnwood,500-749,1
Chartwell Books,250-499,1
Chatto  Windus,250-499,2
Chatto & Windus,250-499,2
Chatto & Windus,500-749,1
Chatto & Windus,>=1000,1
Chatto and Windus,250-499,1
Chatto and Windus,500-749,1
Checkmark Books,250-499,1
Chelsea House Publications,250-499,2
Chelsea House Publications,<250,4
Chelsea House Publishers,<250,1
Cherry Lane Music Company,<250,1
Cherry Red Books,250-499,1
Chicago Review Press,250-499,3
Chicago Review Press,500-749,2
Chicago Review Press,<250,2
Chicken House,<250,2
Chicken House / Scholastic,<250,1
Child's Play International,<250,1
Children's Classics,250-499,1
Children's Press(CT),<250,1
Chosen Books,250-499,1
Chosen Books,<250,1
Christian Classics,<250,1
Christian Classics,>=1000,1
Chronicle Books,250-499,3
Chronicle Books,<250,11
Chu Hartley Publishers LLC,250-499,1
Churchill Livingstone,500-749,1
Circlet Press,<250,1
Cisne,250-499,1
Cistercian Publications,<250,1
Citadel,250-499,6
Citadel,500-749,1
Citadel,<250,6
Citadel Press,250-499,2
Citadel Press,<250,1
City Lights,<250,1
City Lights Publishers,250-499,3
City Lights Publishers,<250,3
Civitas Books,250-499,1
Claassen Verlag,250-499,1
Clarendon Press,250-499,2
Clarion Books,250-499,1
Clarion Books,<250,7
Clarity Press,<250,1
Clarkson Potter,250-499,6
Clarkson Potter,<250,1
Clarkson Potter Publishers,250-499,2
Clarkson Potter/Publishers,<250,1
Classic Books,<250,1
Cleis Press,250-499,1
Cleis Press,500-749,1
Cleis Press,<250,2
Cliffs Notes,<250,39
Coffee House Press,250-499,1
Coffee House Press,<250,1
Cold Spring Harbor Laboratory Press,500-749,1
Cold Spring Press,<250,1
Collection of Historical Scientific Instruments,250-499,1
Collector's Library,250-499,1
Collector's Library,500-749,1
Collectors Library,250-499,1
Collier Books,<250,1
Collins,<250,1
Collins Design,<250,1
Collins Modern Classics,>=1000,1
Collins Publishers,250-499,1
Collins Reference,250-499,2
Collins Reference,750-999,1
Collins Reference,>=1000,1
Columbia Pictures Pubns,<250,1
Columbia University Press,250-499,6
Columbia University Press,500-749,1
Columbia University Press,<250,7
ComicsLit,<250,1
ComicsOne Corporation,<250,2
Companhia das Letras,250-499,1
Conari Press,250-499,1
Condor Books,<250,1
Contemporary Books,250-499,1
Contemporary French Fiction,500-749,1
Continuum,<250,1
Cook's Illustrated,250-499,1
Cook's Illustrated,<250,1
Cooper Square Press,250-499,2
Cooper Square Publishers,750-999,1
Copernicus Books,<250,1
Copper Canyon Press,250-499,1
Copper Canyon Press,<250,1
Corgi,250-499,14
Corgi,500-749,2
Corgi,<250,2
Corgi Books,250-499,1
Corgi Books,500-749,1
Corgi Books (Adult),250-499,1
